Platform,Orders,Revenue,Followers,Subscribers,Status,Timestamp
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Printify,-,-,-,-,❌ Missing PRINTIFY_API,16-09-2025 10:24 AM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 10:24 AM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 10:24 AM IST
Cad Crowd Auto Work,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Fiverr AI Gig Automation,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Upwork,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Redbubble POD,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Etsy Store,-,-,-,-,❌ Missing ETSY_API_KEY or ETSY_SHOP_ID,16-09-2025 10:24 AM IST
Freelancer.com,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Amazon KDP,-,₹0,-,-,❌ Not wired yet,16-09-2025 10:24 AM IST
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Printify,-,-,-,-,❌ Missing PRINTIFY_API,16-09-2025 11:47 AM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 11:47 AM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 11:47 AM IST
Cad Crowd Auto Work,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Fiverr AI Gig Automation,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Upwork,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Redbubble POD,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Etsy Store,-,-,-,-,❌ Missing ETSY_API_KEY or ETSY_SHOP_ID,16-09-2025 11:47 AM IST
Freelancer.com,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Amazon KDP,-,₹0,-,-,❌ Not wired yet,16-09-2025 11:47 AM IST
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Printify,-,-,-,-,❌ Missing PRINTIFY_API,16-09-2025 12:28 PM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 12:28 PM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 12:28 PM IST
Cad Crowd Auto Work,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Fiverr AI Gig Automation,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Upwork,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Redbubble POD,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Etsy Store,-,-,-,-,❌ Missing ETSY_API_KEY or ETSY_SHOP_ID,16-09-2025 12:28 PM IST
Freelancer.com,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Amazon KDP,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:28 PM IST
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Printify,-,-,-,-,❌ Missing PRINTIFY_API,16-09-2025 12:33 PM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 12:33 PM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 12:33 PM IST
Cad Crowd Auto Work,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Fiverr AI Gig Automation,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Upwork,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Redbubble POD,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Etsy Store,-,-,-,-,❌ Missing ETSY_API_KEY or ETSY_SHOP_ID,16-09-2025 12:33 PM IST
Freelancer.com,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Amazon KDP,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:33 PM IST
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Printify,-,-,-,-,❌ Missing PRINTIFY_API,16-09-2025 12:47 PM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 12:47 PM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 12:47 PM IST
Cad Crowd Auto Work,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Fiverr AI Gig Automation,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Upwork,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Redbubble POD,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Etsy Store,-,-,-,-,❌ Missing ETSY_API_KEY or ETSY_SHOP_ID,16-09-2025 12:47 PM IST
Freelancer.com,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Amazon KDP,-,₹0,-,-,❌ Not wired yet,16-09-2025 12:47 PM IST
Instagram Reels,-,-,-,-,❌ Not wired yet,16-09-2025 01:06 PM IST
Printify,-,-,-,-,✅ Live Printify API,16-09-2025 01:06 PM IST
Meshy AI Store,-,-,-,-,❌ MESHY_STATS_URL missing,16-09-2025 01:06 PM IST
YouTube,-,-,-,-,✅ Live YouTube stats,16-09-2025 01:06 PM IST
